type,link_web,modelo,anio,precio,version,color,combustible,puertas,transmision,motor,tipo de carroceria
0km,https://auto.mercadolibre.com.ar/MLA-1474375214-peugeot-208-new-like-12-okm-mk-_JM#position=1&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Peugeot 208 1.2 New Like,2023,3.120.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1480428730-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-b9-_JM#position=2&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Extreme,2023,26.000.000,3.0 V6 Extreme,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1480428564-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-b9-_JM#position=3&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Highline,2023,24.000.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384498565-volkswagen-vw-amarok-v6-comfortline-okm-precio-4x4-full-b9-_JM#position=4&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Comfortline,2023,20.350.000,3.0 V6 Cd Comfortline,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1384473011-volkswagen-vw-amarok-highline-4x4-at-okm-precio-full-2023-b9-_JM#position=5&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,2023,21.350.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384521473-volkswagen-vw-amarok-highline-4x2-at-okm-precio-full-2023-b9-_JM#position=6&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,2023,18.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384521389-volkswagen-vw-amarok-comfortline-4x2-manual-okm-precio-b9-_JM#position=7&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,2023,14.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1479927320-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-p9-_JM#position=8&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Extreme,2023,26.000.000,3.0 V6 Extreme,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1480103528-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-p9-_JM#position=9&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Highline,2023,24.000.000,3.0 V6 Cd Highline,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1480103480-volkswagen-vw-amarok-v6-comfortline-okm-precio-4x4-full-p9-_JM#position=10&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Comfortline,2023,20.350.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384410223-volkswagen-vw-amarok-highline-4x4-at-okm-precio-full-2023-p9-_JM#position=11&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,2023,21.350.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384363795-volkswagen-vw-amarok-highline-4x2-at-okm-precio-full-2023-p9-_JM#position=12&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,2023,18.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384385499-volkswagen-vw-amarok-comfortline-4x2-manual-okm-precio-p9-_JM#position=13&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,2023,14.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1480101902-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-d9-_JM#position=14&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Extreme,2023,26.000.000,3.0 V6 Extreme,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1384407603-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-d9-_JM#position=15&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Highline,2023,24.000.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1479924528-volkswagen-vw-amarok-v6-comfortline-okm-precio-4x4-full-d9-_JM#position=16&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Comfortline,2023,20.350.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384395417-volkswagen-vw-amarok-highline-4x4-at-okm-precio-full-2023-d9-_JM#position=17&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,2023,21.350.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384362021-volkswagen-vw-amarok-highline-4x2-at-okm-precio-full-2023-d9-_JM#position=18&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,2023,18.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1480101502-volkswagen-vw-amarok-comfortline-4x2-manual-okm-precio-d9-_JM#position=19&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,2023,14.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384394515-volkswagen-vw-amarok-v6-extreme-okm-precio-4x4-full-auto-v9-_JM#position=20&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Extreme,2023,26.000.000,3.0 V6 Extreme,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1384370773-volkswagen-vw-amarok-v6-highline-okm-precio-4x4-full-auto-v9-_JM#position=21&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Highline,2023,24.000.000,3.0 V6 Cd Highline,Blanco,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1384394465-volkswagen-vw-amarok-v6-comfortline-okm-precio-4x4-full-v9-_JM#position=22&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Comfortline,2023,20.350.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1480061806-volkswagen-vw-amarok-highline-4x4-at-okm-precio-full-2023-v9-_JM#position=23&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack At,2023,21.350.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1479923430-volkswagen-vw-amarok-highline-4x2-at-okm-precio-full-2023-v9-_JM#position=24&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x2 Highline Pack At,2023,18.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1384370575-volkswagen-vw-amarok-comfortline-4x2-manual-okm-precio-v9-_JM#position=25&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,2023,14.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1477479376-208-feline-2023-financiado-okm-v-_JM#position=26&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Peugeot 208 1.6l Feline Tiptronic Am23.5,2023,13.900.000,1.6l Feline Tiptronic am23.5,Gris,Nafta,5,Automática,1.6,Hatchback
0km,https://auto.mercadolibre.com.ar/MLA-1477105444-fiat-cronos-drive-13-my23-style-okm-l-_JM#position=27&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Fiat Cronos 1.3 Drive S-design Mt,2023,8.800.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1382411239-renault-kangoo-stepway-16-full-full-okm-2023-stock-lg-_JM#position=28&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Renault Kangoo Ii Stepway 1.6 Sceii,2023,10.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1468543202-volkswagen-amarok-confortline-v6-258-cv-okm-al-_JM#position=29&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Comfortline,2023,19.200.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1468621010-volkswagen-amarok-extreme-v6-258-cv-al-okm-_JM#position=30&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Extreme,2023,22.850.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1468594430-volkswagen-amarok-highline-4x4-at-v6-258-cv-2023-al-okm-_JM#position=31&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Cd Highline,2023,22.850.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1465827808-chevrolet-cruze-rs-okm-nuevo-ano-2023-financiacion-gp-_JM#position=32&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Chevrolet Cruze 5 1.4 Rs At 5 P,2023,14.470.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1462010728-fiat-pulse-okm-todos-los-modelos-financiacioncontadomc-_JM#position=33&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Fiat Pulse 1.0 Impetus T3 Cvt,2023,3.000.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1378731559-amarok-confortline-4x2-manual-entrega-inmediata-okm-al-_JM#position=34&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 2.0 Cd Tdi 180cv Comfortline,2023,14.550.000,2.0 Cd Tdi 180cv Comfortline,Gris,Eléctrico,4,Manual,2.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1378150595-renault-alaskan-outsider-23-at-4x4-biturbo-okm-en-oferta-fd-_JM#position=35&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Renault Alaskan 2.3 Bit 16v Outsider 4x4,2023,12.819.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1450204732-chevrolet-tracker-premier-okmmm7-_JM#position=36&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Chevrolet Tracker 1.2 Premier Turbo At,2023,11.662.925,1.2 Premier Turbo At,Gris,Nafta,5,Automática,1.2,SUV
0km,https://auto.mercadolibre.com.ar/MLA-1450292866-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=37&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,2023,13.599.599,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1376883531-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=38&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,2023,14.099.870,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1376860385-chevrolet-tracker-ltz-12-turbo-at-okmmm7-_JM#position=39&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Chevrolet Tracker 1.2 Turbo Ltz At,2023,10.399.850,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1376834721-chevrolet-s10-z71-4x4-at-okmmm7-_JM#position=40&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Chevrolet S10 2.8 Cd 4x4 Z71 Tdci 200cv At,2023,14.209.852,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1448037614-chevrolet-cruze-premier-okmmm7-_JM#position=41&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Chevrolet Cruze 5 1.4 Premier 5p,2023,10.996.339,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1447880202-bmw-m235i-okm-2023-bmw-235i-okm-no-m135i-ni-bmw-m240i-_JM#position=42&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Bmw Serie 2 3.0 M235i M Package 326cv,2023,88.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1376325689-fiat-cronos-okm-y-patentados-s-rodar-mod2023-mc-_JM#position=43&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Fiat Cronos 1.3 Drive S-design Mt,2023,5.900.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1376541757-volkswagen-vento-gli-20-tsi-dsg-okm-al-_JM#position=44&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Vento 2.0 Tsi Gli 211cv App Connect + Nav,2023,42.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1376173113-renault-nueva-master-corta-okm-entrega-inmediata-fl-_JM#position=45&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Renault Master 2.3 L1h1 Aa,2023,21.000.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1369574669-bmw-m235i-gran-coupe-okm-2023-bmw-235-bmw-serie-2-235i-_JM#position=46&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Bmw Serie 2 3.0 M235i M Package 326cv,2023,90.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1454922960-volkswagen-amarok-30-v6-258-cv-extreme-al-okm-_JM#position=47&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Volkswagen Amarok 3.0 V6 Extreme,2023,24.850.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1394831570-bmw-serie-4-430i-gran-coupe-sport-okm-2023-no-bmw-330-_JM#position=48&search_layout=grid&type=item&tracking_id=af745675-1dbf-4f12-be96-ef33a16fa2f1,Bmw Serie 4 430i Gran Coupé Okm Linea 2023,2023,98.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1394792806-volkswagen-amarok-tredline-4x2-manual-okm-23-fb-_JM#position=1&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline,2023,10.088.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1364910319-renault-kangoo-expss-confort-5-a-16-permuta-okm-financio-l-_JM#position=2&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Renault Kangoo Ii Express Confort 5a 1.6 Sce,2023,6.200.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1383615992-bmw-430i-coupe-okm-ano-2023-no-okm-bmw-430-bmw-240i-_JM#position=3&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Bmw Serie 4 430i Coupé Sport Linea Nueva 2023,2023,90.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1363896217-amarok-highline-4x2-mt-gr-okm-_JM#position=4&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 2.0 Cd Tdi 180cv Highline,2023,19.200.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1375990042-bmw-x3-30e-hibrida-bmw-electrica-okm-2023-no-audi-q5-x3-30-_JM#position=5&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Bmw X3 Bmw X3 Hibrida Enchufable Linea 2023,2023,128.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1362752933-liquido-ya-208-active-pack-automatico-okm-2023-_JM#position=6&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Peugeot 208 1.6l Active Tiptronic,2023,1.200.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1362726839-liquido-ya-partner-furgon-nafta-16-1-solo-porton-okm-2023-_JM#position=7&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Peugeot Partner Patagónica 1.6 115,2023,3.200.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1362762307-liquido-ya-peugeot-208-active-manual-okm-2023-_JM#position=8&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Peugeot 208 1.6l Active Pack,2023,1.800.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1362761641-liquido-ya-208-active-caja-manual-okm-2023-_JM#position=9&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Peugeot 208 1.6l Active Pack,2023,1.200.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1366536766-kangoo-stepway-15-okm-2023-oferta-efectivo-stock-ultima-mf-_JM#position=10&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Renault Kangoo Stepway 1.5 Dci,2023,12.231.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1378730981-volkswagen-amarok-trendline-4x4-al-okm-_JM#position=11&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 2.0 Cs Tdi 140cv Trendline 4x4,2023,13.950.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1330708567-volkswagen-amarok-v6-highline-258cv-4x4-at-okm-entrega-rt-a1-_JM#position=12&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Cd Highline,2023,21.800.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1317424554-volkswagen-amarok-v6-highline-258cv-4x4-at-okm-rt-a1-_JM#position=13&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Cd Highline,2023,21.300.000,3.0 V6 Cd Highline,Gris,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1317442696-volkswagen-amarok-v6-extreme-258cv-okm-entrega-inm-rt-a1-_JM#position=14&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Extreme,2023,25.100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1317455525-volkswagen-amarok-trendline-140cv-4x2-manual-okm-rt-a1-_JM#position=15&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline Llantas16,2023,11.600.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1375927733-volkswagen-amarok-highkline-4x4-20-manual-al-okm-en-agencia-_JM#position=16&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Highline Pack,2023,21.000.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1375927685-volkswagen-taos-confortline-linea-23-al-okm-_JM#position=17&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Taos 1.4 250 Tsi Comfortline,2023,17.900.000,1.4 250 Tsi Comfortline,Gris,Nafta,5,Automática,1.4,SUV
0km,https://auto.mercadolibre.com.ar/MLA-1455073228-volkswagen-amarok-highline-4x4-automatica-20-180-cv-al-okm-_JM#position=18&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 2.0 Cd Tdi 180cv 4x4 Ultimate At,2023,22.850.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1454959970-volkswagen-amarok-trendline-4x2-al-okm-_JM#position=19&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 2.0 Cd Tdi 140cv Trendline,2023,12.750.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1455073188-volkswagen-amarok-extreme-v6-258-cv-al-okm-en-agencia-_JM#position=20&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Extreme,2023,24.850.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1455063304-volkswagen-amarok-confortline-v6-4x4-automatica-al-okm-_JM#position=21&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Cd Comfortline,2023,19.200.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1378731011-volkswagen-amarok-highline-v6-258-cv-al-okm-_JM#position=22&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Cd Highline,2023,22.850.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1455086492-amarok-v-6-extreme-v6-258-cv-al-okm-_JM#position=23&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Extreme,2022,24.850.000,3.0 V6 Extreme,Gris,Diésel,4,Automática,3.0,Pick-Up
0km,https://auto.mercadolibre.com.ar/MLA-1378730963-volkswagen-amarok-30-v6-cd-highline-2023-al-okm-_JM#position=24&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Cd Highline,2022,22.900.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1454922930-volkswagen-amarok-extreme-258-cv-2023-al-okm-_JM#position=25&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Extreme,2022,24.850.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1378769229-amarok-v6-black-style-v6-258-al-okm-_JM#position=26&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Extreme Black Style,2022,28.800.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1376541733-volkswagen-taos-highline-tsi-250-al-okm-_JM#position=27&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Taos 1.4 250 Tsi Highline,2022,22.450.000,1.4 250 Tsi Highline,Gris,Nafta,5,Automática,1.4,SUV
0km,https://auto.mercadolibre.com.ar/MLA-1454959860-volkswagen-amarok-extreme-v6-4x4-258-cv-al-en-agencia-okm-_JM#position=28&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Extreme,2022,24.850.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0km,https://auto.mercadolibre.com.ar/MLA-1443773330-volkswagen-amarok-highline-4x4-v6-258-cv-al-en-agencia-okm-_JM#position=29&search_layout=grid&type=item&tracking_id=ca770d7a-008b-4f7e-a2b3-2ac61df68e81,Volkswagen Amarok 3.0 V6 Cd Highline,2022,22.850.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
